good_id,name,price,imageUrl,countReview,location
756131330,Baby Buncis Premium,Rp5.100,https://images.tokopedia.net/img/cache/200-square/product-1/2020/9/1/30497455/30497455_4fa257f3-38bf-45ee-bcb4-fc48967f17fe_700_700,1372,Jakarta Barat
1447074636,Fresh Selada Keriting Segar Organik - SayurKendal,Rp8.032,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/24/62895208-bc94-471f-913f-80c9b8c0272e.jpg,273,Jakarta Pusat
984906053,Tempe Mendoan 5pcs FreshBox,Rp5.600,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/22/89561452-9a18-4214-9213-15e5e363f00b.png,564,Tangerang
1279830113,PASTI MURAH 500gr Raspberry Frozen Buah Beku Rasp Berry Merah,Rp27.720,https://images.tokopedia.net/img/cache/200-square/product-1/2020/6/10/23487851/23487851_94ecf753-f44c-4ae0-813d-d98aabf3cfd1_1000_1000,236,Bekasi
405500315,Jeruk Nipis,Rp2.100,https://images.tokopedia.net/img/cache/200-square/product-1/2020/8/25/30497455/30497455_c115e1a9-5e6d-42a2-93dc-891fd699b94e_700_700,782,Jakarta Barat
978010120,Paket Sayur Asem Pack,Rp10.000,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2021/9/6/87f193ac-34f5-4b36-bd12-9da9a4b73191.jpg,246,Tangerang
809388720,Sayur Kale Daun Organik 200 g,Rp12.500,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/4/5/57374a9e-6b0b-4246-95e8-0dc09c6044b6.jpg,555,Jakarta Selatan
1585807950,"Frozen Berry (Strawberry, BlackBerry, Raspberry), by Surga Berry",Rp45.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/2/6/8e1936e0-f49f-4114-917d-86a18b53f385.jpg,272,Jakarta Selatan
1380578044,Frozen Avocado (IQF) | Buah Alpukat Beku | 450 gram,Rp57.800,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/5/25/5d21cd6c-59b9-4a21-a8c2-35a4cb944411.png,509,Jakarta Utara
784808983,"Kyuri Timun Jepang 1 - 1,2 kg FreshBox",Rp18.400,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/29/5c3b7515-a1ae-4282-926e-a7b81c5c35c4.png,410,Tangerang
