product_name,product_url_image,product_price,product_discount_price,product_stock,product_volume,product_weight
Scarlett Whitening Jolly Brightening Shower Scrub 300ml,https://storage.googleapis.com/indo-astro/Scarlett_Whitening_Jolly_Brightening_Shower_Scrub_300ml_PRODUCT_1645084641647_240x240.png,75800,,10,1000,300
Palmolive Aroma Sensations Sensual Shower Gel 750ml/Sabun Mandi - Isi 2,https://storage.googleapis.com/indo-astro/Palmolive_Aroma_Sensations_Sensual_Shower_Gel_750ml_Sabun_Mandi_-_Isi_2_PRODUCT_1644628602552_240x240.png,148900,93800,15,1000,750
Palmolive Aroma Sensations Absolute Relax Shower Gel 750ml/Sabun Mandi - Isi 2,https://storage.googleapis.com/indo-astro/Palmolive_Aroma_Sensations_Absolute_Relax_Shower_Gel_750ml_Sabun_Mandi_-_Isi_2_PRODUCT_1644628654120_240x240.png,148900,93800,12,1000,750
Palmolive Naturals Milk & Honey Body Wash 1L/Sabun Mandi - Isi 2,https://storage.googleapis.com/indo-astro/Palmolive_Naturals_Milk_&_Honey_Body_Wash_1L_Sabun_Mandi_-_Isi_2_1658805835003_PRODUCT_240x240.png,178800,116200,21,1000,1000
Palmolive Naturals Cherry Blossom Body Wash 1L/Sabun Mandi - Isi 2,https://storage.googleapis.com/indo-astro/Palmolive_Naturals_Cherry_Blossom_Body_Wash_1L_Sabun_Mandi_-_Isi_2_1658805961465_PRODUCT_240x240.png,178800,116200,2,1000,1000
Palmolive Naturals Orchid Body Wash 1L/Sabun Mandi - Isi 2,https://storage.googleapis.com/indo-astro/Palmolive_Naturals_Orchid_Body_Wash_1L_Sabun_Mandi_-_Isi_2_1658805867895_PRODUCT_240x240.png,178800,116200,18,1000,1000
Palmolive Naturals Cherry Blossom Body Wash 1L/Sabun Mandi,https://storage.googleapis.com/indo-astro/Palmolive_Naturals_Cherry_Blossom_Body_Wash_1L_Sabun_Mandi_1658805793526_PRODUCT_240x240.png,89400,46400,2,1000,1050
Palmolive Aroma Sensations Morning Tonic Shower Gel 750ml/Sabun Mandi,https://storage.googleapis.com/indo-astro/Palmolive_Aroma_Sensations_Morning_Tonic_Shower_Gel_750ml_Sabun_Mandi_PRODUCT_1644629624600_240x240.png,78300,50800,17,1000,750
Palmolive Aroma Sensations Sensual Shower Gel 750ml/Sabun Mandi,https://storage.googleapis.com/indo-astro/Palmolive_Aroma_Sensations_Sensual_Shower_Gel_750ml_Sabun_Mandi_PRODUCT_1644630236277_240x240.png,78300,50800,19,1000,750
Kojie San Skin Lightening Soap With Hydromoist 65gr,https://storage.googleapis.com/indo-astro/Kojie_San_Skin_Lightening_Soap_With_Hydromoist_65gr_PRODUCT_240x240.png,20000,,2,1000,65
Kojie San Kojic Acid Soap 135gr,https://storage.googleapis.com/indo-astro/Kojie_San_Kojic_Acid_Soap_135gr_PRODUCT_1643348829972_240x240.png,36900,,23,1000,135
Scarlett Whitening Romansa Body Scrub 250gr,https://storage.googleapis.com/indo-astro/Scarlett_Whitening_Romansa_Body_Scrub_325gr_240x240.png,75800,,8,1000,250
Men's Biore Body Foam Cool Energy Pouch 450ml/Sabun Mandi,https://storage.googleapis.com/indo-astro/Men's_Biore_Body_Foam_Cool_Energy_Pouch_450ml_Sabun_Mandi_1650599509392_PRODUCT_240x240.png,29900,,4,1000,480
Aveeno Skin Relief Body Wash 354ml/Sabun Mandi,https://storage.googleapis.com/indo-astro/Aveeno_Skin_Relief_Body_Wash_354ml_Sabun_Mandi_240x240.png,166700,,3,1000,354
Aveeno Daily Moisturizing Body Wash 354ml/Sabun Mandi,https://storage.googleapis.com/indo-astro/Aveeno_Daily_Moisturizing_Body_Wash_354ml_Sabun_Mandi_PRODUCT_1644571448036_240x240.png,166700,,3,1000,354
Kahf Hair and Body Wash Energizing 200ml/Sabun Mandi,https://storage.googleapis.com/indo-astro/Kahf_Hair_and_Body_Wash_Energizing_200ml_Sabun_Mandi_240x240.png,37300,,24,1000,200
Kahf Hair and Body Wash Relaxing 200ml/Sabun Mandi,https://storage.googleapis.com/indo-astro/Kahf_Hair_and_Body_Wash_Relaxing_200ml_Sabun_Mandi_240x240.png,37300,,12,1000,200
Palmolive Aroma Sensations Absolute Relax Shower Gel 750ml/Sabun Mandi,https://storage.googleapis.com/indo-astro/Palmolive_Aroma_Sensations_Absolute_Relax_Shower_Gel_750ml_Sabun_Mandi_1658806336796_PRODUCT_240x240.png,78300,50800,25,504,750
Lifebuoy Antibacterial Lemonfresh Body Wash/Sabun Mandi Pouch 450ml,https://storage.googleapis.com/indo-astro/Lifebuoy_Antibacterial_Lemonfresh_Body_Wash_Sabun_Mandi_Pouch_450ml_240x240.png,30500,,3,1848,500
Giv White Glowing White Mulberry & Collagen Body Wash Pouch 450ml/Sabun Mandi,https://storage.googleapis.com/indo-astro/Giv_White_Glowing_White_Mulberry_&_Collagen_Body_Wash_Pouch_450ml_Sabun_Mandi_240x240.png,25700,,12,1862,450
Love Beauty And Planet Petal Soft Body Wash Botol 400ml/Sabun Mandi,https://storage.googleapis.com/indo-astro/Love_Beauty_And_Planet_Petal_Soft_Body_Wash_Botol_400ml_Sabun_Mandi_240x240.png,56400,,8,2000,400
Love Beauty And Planet Majestic Glow Body Wash Botol 400ml/Sabun Mandi,https://storage.googleapis.com/indo-astro/Love_Beauty_And_Planet_Majestic_Glow_Body_Wash_Botol_400ml_Sabun_Mandi_240x240.png,57500,,15,2000,400
Lifebuoy Mildcare Body Wash Pouch 400ml/Sabun Mandi,https://storage.googleapis.com/indo-astro/Lifebuoy_Mildcare_Body_Wash_Pouch_400ml_Sabun_Mandi_1655434940748_PRODUCT_240x240.png,30900,,4,1848,400
Lifebuoy Total 10 Body Wash Pouch 400ml/Sabun Mandi,https://storage.googleapis.com/indo-astro/Lifebuoy_Total_10_Body_Wash_Pouch_400ml_Sabun_Mandi_1655435073123_PRODUCT_240x240.png,30900,27800,7,1848,450
Lifebuoy Mildcare Body Wash Pouch 850ml/Sabun Mandi,https://storage.googleapis.com/indo-astro/Lifebuoy_Mildcare_Body_Wash_Pouch_850ml_Sabun_Mandi_240x240.png,48700,,6,1000,850
