product_name,product_url_image,product_price,product_discount_price,product_stock,product_volume,product_weight
Banana Chips Sugar Cinnamon 80gr - Everything Banana,https://storage.googleapis.com/indo-astro/Banana_Chips_Sugar_Cinnamon_80gr_-_Everything_Banana_240x240.png,29800,23800,5,1000,80
Lemonilo Chimi Taro Chips Jagung Balado 40gr/Keripik Ubi,https://storage.googleapis.com/indo-astro/Lemonilo_Chimi_Jagung_Balado_40gr_-_Taro_Chips_Keripik_Ubi_240x240.png,10000,,4,1000,40
Lemonilo Chimi Taro Chips Jagung Bakar 40gr/Keripik Ubi,https://storage.googleapis.com/indo-astro/Lemonilo_Chimi_Jagung_Bakar_40gr_-_Taro_Chips_Keripik_Ubi_240x240.png,10000,,6,1000,40
Lorenz Naturals Sea and Salt Pepper 100gr/Keripik Kentang,https://storage.googleapis.com/indo-astro/Lorenz_Naturals_Sea_and_Salt_Pepper_100gr_Potato_Chips_Keripik_Kentang_240x240.png,30200,,2,1000,100
Lorenz Naturals Mild Paprika 100gr/Keripik Kentang,https://storage.googleapis.com/indo-astro/Lorenz_Naturals_Mild_Paprika_100gr_Potato_Chips_Keripik_Kentang_240x240.png,29900,,3,1000,100
Nongshim Onion Ring 90gr,https://storage.googleapis.com/indo-astro/Nongshim_Onion_Ring_90gr_240x240.png,17700,,4,918,90
Chiki Twist Jagung Bakar 75gr,https://storage.googleapis.com/indo-astro/Chiki_Twist_Jagung_Bakar_75gr_240x240.png,6600,,0,2112,75
Chitato Sapi Panggang 168gr/Keripik Kentang,https://storage.googleapis.com/indo-astro/Chitato_Sapi_Panggang_168gr_Chips_Keripik_Kentang_240x240.png,24300,,0,3910,180
Happy-tos Tortilla Chips Corn Green 160gr/Keripik Jagung,https://storage.googleapis.com/indo-astro/Happy-Tos_Tortilla_Chips_Corn_Green_160gr_Keripik_Jagung_240x240.png,12700,,0,3528,160
Mr Hottest Maitos Tortilla Chips Sambal Balado 140gr/Keripik Jagung,https://storage.googleapis.com/indo-astro/Mr_Hottest_Maitos_Tortilla_Chips_Sambal_Balado_140gr_Keripik_Jagung_240x240.png,10400,,0,1960,140
Nongshim Shrimp Crackers 75gr,https://storage.googleapis.com/indo-astro/Nongshim_Shrimp_Crackers_75gr_240x240.png,19200,,0,918,75
Oishi Sponge Crunch Coklat 100gr,https://storage.googleapis.com/indo-astro/Oishi_Sponge_Crunch_Coklat_100gr_240x240.png,11400,,0,2496,100
Potabee Potato Chips Ayam Bakar Alfoil 68gr/Keripik Kentang,https://storage.googleapis.com/indo-astro/Potabee_Potato_Chips_Ayam_Bakar_Alfoil_68gr_Keripik_Kentang_240x240.png,9500,,0,1482,68
Potabee Potato Chips Beef BBQ 68gr/Keripik Kentang,https://storage.googleapis.com/indo-astro/Potabee_Potato_Chips_Beef_BBQ_68gr_-_Potato_Chips_Keripik_Kentang_240x240.png,9500,,0,1482,68
Potabee Potato Chips Wagyu Beef Steak 68gr/Keripik Kentang,https://storage.googleapis.com/indo-astro/Potabee_Potato_Chips_Wagyu_Beef_Steak_68gr_Keripik_Kentang_240x240.png,9500,,0,1482,68
Pringles Original 107gr/Keripik Kentang,https://storage.googleapis.com/indo-astro/Pringles_Original_107gr_-_Chips_Keripik_Kentang_240x240.png,21900,,0,1078,120
Pringles Sour Cream & Onion 107gr/Keripik Kentang,https://storage.googleapis.com/indo-astro/Pringles_Sour_Cream_&_Onion_107gr_-_Chips_Keripik_Kentang_240x240.png,21900,,0,1078,160
Siantar Top Kentang Goreng French Fries 2000 62gr,https://storage.googleapis.com/indo-astro/Siantar_Top_Kentang_Goreng_French_Fries_2000_62gr_240x240.png,7600,,0,2484,62
Bento Ikan & Cumi Rasa Saus Thailand 24gr,https://storage.googleapis.com/indo-astro/Bento_Ikan_&_Cumi_Rasa_Saus_Thailand_24gr_1659000247432_PRODUCT_240x240.png,20500,,0,430.95,24
Potabee Seaweed 68gr,https://storage.googleapis.com/indo-astro/Potabee_Seaweed_68gr_1660031570121_PRODUCT_240x240.png,8900,,0,1000,68
Piattos Sapi Panggang Jumbo Pack 120gr,https://storage.googleapis.com/indo-astro/Piattos_Sapi_Panggang_Jumbo_Pack_120gr_1655266112776_PRODUCT_240x240.png,14000,,0,13020,120
Ika's Fish Snack Original 120gr ,https://storage.googleapis.com/indo-astro/Ika's_Fish_Snack_Original_120gr__1654592307457_PRODUCT_240x240.png,37500,,0,8160,120
Bento Ikan & Cumi Rasa Pedas Manis 24gr,https://storage.googleapis.com/indo-astro/Bento_Ikan_&_Cumi_Rasa_Pedas_Manis_24gr_1654592244544_PRODUCT_240x240.png,19800,,0,676,24
Boncabe Makaroni Krispy Level 15 150gr,https://storage.googleapis.com/indo-astro/Boncabe_Makaroni_Krispy_Level_15_150gr_1653021145178_PRODUCT_240x240.png,9200,,0,1000,150
Boncabe Makaroni Krispy Level 10 150gr,https://storage.googleapis.com/indo-astro/Boncabe_Makaroni_Krispy_Level_10_150gr_1653021100162_PRODUCT_240x240.png,9200,,0,1000,150
Potabee Selection Black Truffle 65gr,https://storage.googleapis.com/indo-astro/Potabee_Selection_Black_Truffle_65gr_1650346345186_PRODUCT_240x240.png,9000,,0,1000,65
Piattos Sapi Panggang 75gr,https://storage.googleapis.com/indo-astro/Piattos_Sapi_Panggang_75gr_1649822903798_PRODUCT_240x240.png,9500,,0,1000,75
Chitato Asli 68gr,https://storage.googleapis.com/indo-astro/Chitato_Asli_68gr_PRODUCT_1645614605135_240x240.png,9400,,0,1000,68
Chiki Twist Ayam Panggang 75gr,https://storage.googleapis.com/indo-astro/Chiki_Twist_Ayam_Panggang_75gr_PRODUCT_1645612424379_240x240.png,5600,,0,1000,75
Bin Bin Original Rice Crackers 150gr,https://storage.googleapis.com/indo-astro/Bin_Bin_Original_Rice_Crackers_150gr_240x240.png,26300,,0,1000,120
Melts with Crunch 130gr,https://storage.googleapis.com/indo-astro/Melts_with_Crunch_130gr_240x240.png,27300,,6,360,150
Melts Dark Chocolate Cookies 120gr,https://storage.googleapis.com/indo-astro/Melts_Dark_Chocolate_Cookies_120gr_240x240.png,35400,,3,2156,140
Storck Knoppers Wafer 3x25gr,https://storage.googleapis.com/indo-astro/Storck_Knoppers_3x25gr_240x240.png,32300,,0,494,75
Nyamnyam Bubble Puff Choco Cream 18gr,https://storage.googleapis.com/indo-astro/Nyamnyam_Bubble_Puff_Choco_Cream_18gr_240x240.png,3600,,0,294,18
Gery Malkist Saluut Sweet Cheese Crackers 110gr,https://storage.googleapis.com/indo-astro/Gery_Malkist_Saluut_Sweet_Cheese_Crackers_110gr_240x240.png,7600,,0,840,110
Khong Guan Saltcheese Cracker 200gr,https://storage.googleapis.com/indo-astro/Khong_Guan_Saltcheese_Cracker_200gr_240x240.png,9800,,0,608,200
Meiji Crackers Plain With Oat 104gr/Biskuit,https://storage.googleapis.com/indo-astro/Meiji_Crackers_Plain_With_Oat_104gr_240x240.png,28500,,0,1000,104
Monde Butter Cookies 150gr,https://storage.googleapis.com/indo-astro/Monde_Butter_Cookies_150gr_240x240.png,18200,,0,520,194
Monde Collon Vanilla 50gr,https://storage.googleapis.com/indo-astro/Monde_Collon_Vanilla_50gr_240x240.png,6600,,0,420,71
