Goods_name,brand,price,sold
SSD 128GB 256GB 512GB 1TB V-GeN 120GB 240GB 480GB 960GB VGEN + HDD Caddy 12.7 mm 9.5 mm Bracket PC,V-Gen,198000,874
Totolink N200RE V4 Wireless Router,,152000,405
casing dvd 9mm double/ single,,2300,30
KABEL LAN UTP cat5e permeter hose/vascolink/spectra GREY,Tidak Ada Merek,1399,2357
2n5401 transistor 2n5401,Tidak Ada Merek,370,1225
Tinta Canon 790 For Ink Printer G1000 G2000 G3000 G4000 G1010 G2010,Tidak Ada Merek,22500,1019
Mesin laminating joyko LM01 LM 01 F4 folio laminasi ktp a4 panas dingin hot cold portable portabel,Joyko,268910,238
FLASHDISK KIOXIA 16GB HAYABUSA USB 2 100% ORIGINAL JAPAN,Kioxia,41500,6652
14Inch Laptop Keyboard Cover Protector for HP Pavilion 14 Series 14s Notebook Skin 14q-cs0001TX I5-8250U 14-ce307 14-bs 14s-cf2517tu 14s-dk1003AU 14s-DK1507AU,,15190,712
Adaptor CCTV 12V /1A Power Adapter,Tidak Ada Merek,11000,1205
AC to DC Adaptor 12V 1A II Switching Charger Adapter 12 V 1 A Power Supply 12 Volt 1 Amper 1000 mAh,Tidak Ada Merek,12000,63
(SERUNI) MOUSE WIRELESS ROBOT M210 2.4G,Robot,54000,878
KERTAS THERMAL OTANI 58x48/58x47/57x48/57x47 MM PRINTER 58MM,Otani,3700,331
[MIN ORDER 10 ROLL] KERTAS THERMAL MINI PRINTER BLUETOOTH 58x30/58x31/57x30/57x31 HITAM/KASIR/STRUK OTANI 58MM,Otani,2200,1550
INONE Mouse Silent Click Wireless Slim 2.4Ghz 1000/1200/1600DPI Rechargeable untuk PC Laptop,Inone,29900,703
MIXIO F10 Full Hd Webcam 1080P With Microphone Web cam 1080P FULL HD,Tidak Ada Merek,134750,175
KERTAS THERMAL 58x48/58x47/57x48/57x47 MM OTANI 58x48 MINI PRINTER THERMAL 58MM BLUETOOTH,Otani,3700,1078
USB Flashdisk SANDISK CRUIZER BLADE (16GB Green),Sandisk,53400,502
Screen Protector ANTI GORES MACBOOK NEW AIR PRO RETINA 11 12 13 15 16 CD ROOM DVD / TOUCHBAR 2020 M1,Tidak Ada Merek,45000,761
USB Flashdisk 8gb 16gb 32gb 64gb 128gb ASTRO / AVATAR Water Proof V-GeN Flash Drive Flash Disk Vgen,V-Gen,32000,3571
KERTAS THERMAL OTANI 58x30/58x31/57x30/57x31 MM 58MM HITAM,Tidak Ada Merek,2300,1031
Keyboard USB MTech Komputer Laptop,,35000,762
Mouse pad Gaming XL Peta Dunia Mousepad Besar,Tidak Ada Merek,15600,652
KERTAS THERMAL OTANI 57X40 58x40 57x38 STRUK KASIR 58MM,Tidak Ada Merek,3400,350
Baut Screw Sekrup Motherboard Mobo / DVDRW / SSD Baud PC Komputer,Tidak Ada Merek,400,69
DC-DC LM2596 4.0 ~ 40 Modul Regulator Voltase Converter Step Down 1.3-37v [BISA COD],Tidak Ada Merek,8800,758
Adaptor Charger Laptop Acer Aspire 19V-3.42A ORIGINAL E14 E5 475 E5 475G  E1-421 E1-431 E1-451 E1-471  4710 4730 4730G 4720 4732 4732Z 4736 4738 4739 4750 4752 4741 V5-431 V5-431G V5-431P V5-471 V5-471G V5-471P V5-471PG V5-531 BONUS KABEL POWER,,75000,515
WRAP BATERAI 18650 BERGAMBAR ( WARNA  ACAK ),Tidak Ada Merek,2500,129
HTB3100 A+B Fiber Optic Optical Media Converter HTB-3100 Netlink 10/100Mbps RJ45 Single Mode 25KM,,112000,1718
GACUN 21 INC POWER KIT GACUN ORIGINAL,,18000,131
SanDisk Ultra Dual Drive M3.0 32GB USB 3.0 OTG Flash Drive,Sandisk,83000,436
Casing HDD Hardisk Eksternal NYK 2.5 USB 2.0 Transparan external case,NYK,45000,179
Protection Sleeve ADAPTOR/OPTIK/OPTIC/FO,3Com,360,0
"SSD EYOTA 256GB SATA III 2.5"" 6GB/S GARANSI RESMI",Eyota,265000,806
MT3608 ADJUSTABLE STEP UP BOOST DC MICRO USB 2A 2V-24V TO 5V-28V,Tidak Ada Merek,5900,298
adapter sc upc,Tidak Ada Merek,1050,3089
DVD BOX 9mm DOUBLE GT-PRO,GT-Pro,2300,116
Memori VGEN 16GB class 6 speed upto 48mb/s,V-Gen,46000,111
Keyboard USB R-ONE,R-One,34500,222
SSD 128GB 256GB 512GB 1TB 2TB SATA3 VGEN 120GB 240GB 480GB 960GB 1920GB V-GEN HDD CADDY SATA BRACKET 128 256 512 GB 1 TB 2 TB,V-Gen,198000,135
"DVD-R Maxell 4,7 GB | DVD R Kosong | DVD Kosong | Blank DVD R | Optical Disk | Maxell",Maxell,2547,970
[BISA COD] Adapter SC/UPC SC/APC ADAPTOR / OPTIK / OPTIC / FO / FIBER,,1000,2692
SAMSUNG SODIM DDR3L 4GB PC12800 1.35VOL,Samsung,135000,49
BARREL / BAREL / SAMBUNGAN JARINGAN LAN RJ45 / RJ 45,Tidak Ada Merek,1300,295
Bonkyo Paket Gaming Keyboard dan Mouse  RGB / Set Gaming Mouse dan Keyboard USB Cable RGB,Tidak Ada Merek,89900,265
Connector 100pcs / 50pcsUTP RJ45 Cat 5e/Konektor RJ 45 Cat5e[Bisa Bayar Ditempat],,9000,313
Ram PC DDR2 2GB,Tidak Ada Merek,90000,4
RAM LAPTOP DDR3 2GB 4GB 8GB PC-12800 / 1600Mhz V-GeN SODIMM DDR3L 2/4/8 GB 1600 MHz PC3/PC3L RESCUE,V-Gen,158000,110
"KABEL VGA male-male 1,5m",Tidak Ada Merek,7450,333
Memory Ram laptop SAMSUNG SODIMM DDR3L 4GB 1600 1333 DDR3 4GB 1600 1333 DDR3 12800 10600,Samsung,135000,96
ROBOT Speaker Bluetooth RB100 V5.0 Mini Portable Support Micro SD & USB Garansi Original Resmi,Robot,90000,513
PROMO!!! Charger Casan Adaptor Laptop Asus x200 x200M x453M x453S x441 x441SA x441SC,Asus,120000,386
BUDS-IN EARPHONE R9 EXTRA BASS+ MIC/HEADSET+MIC,,5500,26376
Cardreader multi putar Original,,4100,2020
