name,price,brandId,brandName,itemId,inStock,image
JAMBU CRISTAL SUPER / JAMBU CRISTAL MURAH / JAMBU CRISTAL MANIS / JAMBU CRISTAL RANGU / JAMBU CRISTAL TANPA BIJI KUALITAS SUPER MANIS ASLI KEBUMEN,1999,4484,No Brand,5740788606,TRUE,https://id-test-11.slatic.net/p/dbd82573c410b53e60c7f77f9d3e9725.jpg
CARI SAYUR - Caesim [250 gr],2000,121239277,CARI SAYUR,1191688232,TRUE,https://id-test-11.slatic.net/p/0ff41e7eacd2c39f7669ed690a99f131.jpg
KLOBOT DAUN KAWUNG // Paket   20 Bungkus Kelobot Daun Kawung Aroma Wangi Khas Kualitas Terjamin Sejak 1980,2000,4484,No Brand,6583042059,TRUE,https://sg-test-11.slatic.net/p/532a0134357e8132c4b28f5532ce14ba.png
KOTAK AJAIB ADU KEBERUNTUNGAN,2000,4484,No Brand,6537556063,TRUE,https://filebroker-cdn.lazada.co.id/kf/S95a4c54508b0432a9d3341154b832f99y.jpg
KLOBOT DAUN KAWUNG // Paket  Bungkus Kelobot Daun Kawung Aroma Wangi Khas Kualitas Terjamin Sejak 1980,2000,4484,No Brand,5868264119,TRUE,https://sg-test-11.slatic.net/p/7c76e54634599fb79918bbcb7793a5b0.png
JAMBU CRISTAL MANIS ASLI KEBUMEN LEBIH RANGU ENAK MANTAP ( JUAL PERBIJI ) SEKILO YG BESAR ISI 5 YANG KECIL ISI 6-7,2000,4484,No Brand,5808954069,TRUE,https://filebroker-cdn.lazada.co.id/kf/S97a633b8a99b4fab82548d5ebaaca8523.jpg
cengkeh ranjangan klinting,2000,4484,No Brand,5751016180,TRUE,https://filebroker-cdn.lazada.co.id/kf/S85f20c1b38ca403b9664bf6842c59699J.jpg
BISA COD BAYAR DITEMPAT Kolang kaling 1 kg gratis ongkir Kolang kaling segar murah Kolang kaling mentah Kolang kaling jumbo Kolang kaling 1 kg Kolang kaling Kolang kaling 1 kg murah Kolang kaling super KABAYAN STOREKABAYAN STORE,2000,4484,No Brand,5670166708,TRUE,https://sg-test-11.slatic.net/p/2f2ef87d32774736f1fd84c8c8db6870.jpg
buah mengkudu /buah pace,2000,4484,No Brand,4933826270,TRUE,https://id-test-11.slatic.net/p/c1b2e997d87480dda1bdcca6f34939e1.jpg
CENGKEH MENJANGAN KEMBANG,2000,4484,No Brand,5891322609,TRUE,https://id-test-11.slatic.net/p/d49c7b7b22c23fc360765a8cf13c270b.jpg
